Sentence,Label
之前的手提坏了，所以趁618活动买了这台电脑，屏幕出乎我想象，很大，哈哈，主机很小不占位置，目前觉得很不错，嘻嘻之前的手提坏了，所以趁618活动买了这台电脑，屏幕出乎我想象，很大，哈哈，主机很小不占位置，目前觉得很不错，嘻嘻,2
跑步或剧烈运动会掉～不理想，音质还不错,1
第三次买了，员工感觉不错?主机小巧不占地方，屏幕大而清晰，最关键的是使用流畅。目前刚用一个月，希望以后的使用也能扛得住。这次的采购相对是比较满意的一次，大家对这次的主机和显示屏的清晰都很满意，尤其是小主机，大家更是喜欢?,2
刚买了二十天直接降价1600！ 手机贬值也没这么快吧？,0
为公司采购购买，疫情期间京东快递速度很快隔天就到了，包装无破损，配件齐全。电脑样式是我喜欢的样式。键盘鼠标都有配齐全！显示器很大看起来很舒服！ 固态硬盘开机很快，总体运行速度满意。会持续关注使用，回头来追评,2
外形外观：外观非常的漂亮，用起来很顺手 屏幕音效：华为做的屏幕和音质都挺好的，机器刚拿到手，用后在追加 运行速度：运行速度非常的流畅，屏幕跟顺滑。手感超级棒，无卡顿现象。 拍照效果：拍照也很清晰，效果很好，满足日常够用了。 待机时间：手机刚拿到手，待机有待考证 其他特色：比较喜欢华为的机器，正好赶上618，果断入手,2
外观、手感都可以，目前反应也灵活，不知用久了会怎样,1
非常满意，超级漂亮的，一直想用华为，这次终于购买了。买给女朋友的，女朋友非常满意，屏幕很大很清晰，很惊艳。系统流畅，速度很快，拍照很清晰，效果特别好。续航也很满意，用了很久才掉10%的电，随便用个一天半，支持华为！赞??,2
Redmi 10X 4G Helio G85游戏芯 4800万超清四摄 5020mAh大电量 小孔全面屏 128GB大存储 4GB+128GB 天际蓝 。外观中规中矩出厂时屏已贴膜手机配手机壳比较贴心，屏幕显示还不错触屏灵敏反应速度很快，拍照效果和闹特7感觉差别不大，128g内存很给力，运行流畅待机时间还行，整体评价经济实惠好用不贵。999的价格还要啥自行车?,2
外形外观：不好看 屏幕音效：一般,0
屏幕音效：很响很洪亮 999买到128 gb的手机简直就是惊人！！！这个性价比简直吓死我，绝对可以接受，等过两年再换5g手机啦。4摄拍照效果绝对过得去的，不觉得是999就类型买到的手机，很划算，值得购买。唯一不足。。。机身有小瑕疵！！虽然是小概率事件，买苹果也会遇到,2
做工质感：做工很精致，各个细节都处理得很好，麦克风和音量按钮也是我比较喜欢的。 音质音效：音质很清晰，音乐的音效也很棒，我耳朵比较小，还附赠了三套耳塞套，用小号的刚刚好。 舒适度：带着很舒服，没有什么奇怪的感觉。 其他特色：必须夸一波包装，设计的很简洁大方，一看就想买了！,2
才买了第三天，就白屏，死机。,0
还可以啊，音频很好,1
可以可以很香  很有自己的特点 也不烫 待机也可以 充电也很快 拍照也很香 音效的话还没再放过 有点大 速度一般话  蛮好的 不错不错 味道好极了,2
拍的时候，显示有货且是211送达，结果2天了，还没有送完，还差一个显示器,0
机箱外观：外观好看，设计简约，很时尚，比较高档，比较适合办公。 散热性能：风扇性能好，没什么声音。 性能配置：开机关机都很快，用起来很快。,2
运行速度：挺好的 待机时间：挺长的 拍照效果：挺清晰 屏幕音效：挺真的 外形外观：挺好看 其他特色：老人很喜欢,2
舒适度：特别舒适 不压耳朵，从感官上看就给人一种舒适感 做工质感：看着很不错 这个连接线看着比较舒适 不想其他单独的线条 其他特色：电脑开机不停的变颜色，看着很是喜欢，头饰上有弧形 音质音效：因为是用来办公使用的音质不错可以随心所欲 不工作家人玩游戏也特别享受,2
不错，玩孤岛惊魂3感觉好的很，流畅度很好。,2
拍照效果：30倍很模糊 待机时间：电池非常好，玩游戏一天冲一次就够了 运行速度：有时候卡一下，倒影响不大 外形外观：外观还不错，就是送的膜根差，打游戏一点手感都没有，还写着用原厂膜才行，不然影响性能,1
收到电脑主机了，电脑运行的很好，因为只是一般的使用，没有处理大量的图像及玩游戏。感觉电脑的速度很快。收到的电脑主机安装的win10系统，不太适应好多东西不知道在哪，系统运行速度快，鲁大师软件性能测试可以跑到14万多分。电脑主机采用双纸盒包装，里面还有软的防撞垫。电脑机箱有些单薄，重量比较轻，方便移动吧。这是第二台了，往后还会继续合作，继续购买！特别感谢今天售后客服很耐心，售后也很专业，插上音响有电流音，售后及时帮忙解决，不到5分钟就远程搞定了，赞一个。,2
整体感觉还可以，没有什么毛病，就是感觉下载东西特慢，测试网速又很快，不知道是什么原因？,1
还行，音质还可以,1
售后服务非常糟糕,0
我家是小米的忠实顾客，全用的小米手机。这个手机是给婆婆买的，价格便宜。大小合适。很适合给老年人用。完全能满足老年人的需求。拍完第二天就到了，速度很快。配完手机壳和屏保后，立马提升质感。婆婆很喜欢。会继续关注的。,2
运行速度：慢 网络差,0
东西不是很好，主要是退货还收费，就将就着吧,0
包装很简陋，手感还行,1
小键盘没反应,1
手机收到了，用了几天体验，手机轻薄外观精致，系统流畅，运行速度快，拍照效果不错，音质清晰，待机时间长，尺寸大小单手操作很合适，总体来说很满意！,2
机箱外观：主机开机酷炫 性能配置：i7配置，用来办公的，特别流畅，开机20秒左右 其他特色：还赠送机械键盘和鼠标  客服非常奈斯,2
游戏效果：一般 运行速度：个网页 内存占用高，看个直播会黑屏。。。,1
音质差    不值这个价,0
手机没有带耳机,0
三天屏幕锁锁了我俩次 服,0
打游戏不适合，有1秒多的延迟，作为运动耳机还行,2
不给安装，价格还行。,0
声音很闷，个头大，不用戴久耳朵就疼,1
没用两天线就断了,0
音效音质：声音一点也不漏，很嗨 做工质感：耳机线很柔软，而且很粗，不易断 其他特色：滑动调音挺好的 舒适度：耳朵一点也不会疼 颜色外观：外观非常美观,2
各方面综合评分可以4分以上，好用又不贵，久戴也不累耳朵，特别是音质很好，没杂音没很清晰用来通话听小说完全没问题，外形做工也是精致小巧，这个价位真的可以有啊！,2
手机没有想象那么好 发热 电用不了多久,1
特意用了一段时间才来评价，一直很喜欢荣耀的X系列机，从荣耀3X到这一部荣耀9X几乎都有了。这部手机是真正的全面屏，6.59英寸的大屏，看起来格外清晰，玻璃机身再配上幻夜黑的颜色，外观时尚大气 。升降式的摄像头，拍照清晰耐看，超长的待机时间，性价比非常高。,2
还行吧，出现过一些小问题，还好客服后面解决了,1
不太好用，不到一个月屏幕有点失灵，还没有原来的5PluS好用,0
怎么没有赠品呢，不是有充电宝吗,0
为什么感觉这耳机还不如我的魅族EP31,0
音质音效：一般很 舒适度：还行 做工质感：话说系统提示音真得难听,1
颜色外观：外观还不错,1
屏幕音效：还可以 外形外观：挺漂亮的,1
每天蓝屏1-2次，很惊喜，很揪心。,0
耳机最近坏了想买新的，就上京东看到了这个，款式很新颖，双动圈四核发音，70多万的评价量，果断下手，音质真的很好，就像个小小的低音炮，声音强劲有力，环绕声很明显，听歌看电影很带劲～还送了一个小皮包跟一副耳机，真的赚到的感觉哈哈哈～配送速度很快，隔天就到了，耳机荒的福利！推荐购买！！大家快冲冲冲！,2
手里的6s突然续航不想了 近期换了一个苹果11 高端大气上档次 毕竟是a13处理器 是非常的不错的 尤其是摄像头 大爱 喜欢的朋友快点入手的哟 个人建议黑色的 比较耐看 像素可以拍大片的 感觉 这次的购物感觉非常不错的。,2
包装保护：简洁环保，很好，很安全。 外形外观：工业设计优秀，金属机身，外形很炫酷，特别是键盘，17.3寸屏幕很是喜欢。 画面品质：100%高色域144hz没毛病。 跑分评测：40w 运行速度：很快。很流畅。 游戏效果：吃鸡超高特效不带卡顿的。,2
这款台式机给公司采购办公用的；这个型号带的有显示器，做工精细，质量很好！一台一般办公用个好几年没问题！这台电脑机箱更小了，放在桌面；整体用起来很方便；运行流畅；办公完全满足性能要求，之前公司用的都是小尺寸的屏幕，换成这款屏幕之后感觉大了好多，大屏办公还是好很多，强烈推荐购买。,2
降价是快呀买了没一个月降500,0
包装保护：八角棱形 外形外观：低调大气 画面品质：144hz完美 跑分评测：40万无压力 游戏效果：还没测试 运行速度：看配置就知道快啦，哈哈哈,2
不错，性价比很高，看下使用后怎么样,1
运行速度：刚用4天左右，就有点点卡，不知道是不是我不会用，但是店铺报活动是真的好卡啊。报的好气啊。 轻薄程度：很薄，方便携带。 屏幕效果：屏幕还不错。14寸大小适中。,1
一般一般,1
一样价钱一样华为手机。买了配置一样。配送东西不一样啊！华为手机不错。就是应该配送不知道怎么会少了。购买小心问清楚点啊！,1
对得起这个价格。,1
一只没有声音听个鬼,0
我搞不懂为什么耳机异味那么大好难闻,0
总是自己关机好烦呀,0
才用了一个星期就坏了，充电都充不进去,0
保护膜和保护壳都没有,0
耳机很不错，索爱作为一个专业做配件的厂家来说很值得信赖。亲试这款耳机通用于手机和电脑，音质都非常棒，耳朵也不感觉痛。 耳机线长度适中，同时物流的速度很快，第二天就到了，快递小哥人也很好，帮我送到了离我家最近的地方，感谢。,2
这是第2次购买，前几天买了白色的套装，然后使用感觉非常的棒，体验很好，于是再次下单购买了这款黑色的，黑白两种颜色各有喜好，但是从质量上来说都是完全一样的。 黑色的相比较白色会更稳重一些，更适合一些商务场合，续航能力是非常值得夸赞的，充一次电正常使用一个多礼拜都没什么问题，确实是非常棒,2
难用死了，一带就掉，想退货,0
都一般,1
挖空屏摄像头周围泛黑,0
有点卡，商家服务态度还好,1
做工质感：做工还不错，算惊喜了，圆润，黑色大气上档次 音质音效：音质很好，煲机8个多钟，音效出来了，低音还不错，其他还在测试中，后续再追评。 舒适度：带上后耳朵很舒服，刚好，大小合适 续航能力：续航能力很不错，看了4个多钟视频，平时能听歌一天多，还不错,2
手机老出现卡死现象,0
外形外观：黑色，低调奢华有内涵。 屏幕音效：手感好，触摸灵敏，音效很好。 拍照效果：三个摄像头，像素很好，高清。 运行速度：6+64g，完全够用了，运行流畅。 待机时间：电池4000毫安，续航能力不错。 其他特色：性价比也很高，值得推荐。 送给妈妈用的，妈妈也很喜欢，低调奢华有内涵，支持华为荣耀。,2
不给耳机,0
刚用两天就断了，垃圾,0
总体来说还算可以,1
性价比很高，可惜水土不服，不适合在香港用,1
外包装拆过，内包装有灰尘，脏。,0
商品倒还是满意的，就是京东的服务太差了,0
服务态度不好 运行速度：比较慢,0
耳机都没一个绝对翻新机大家不要买了。第一次用手机发热,0
外形外观：外形很好看，手感很轻，握着很舒服，很好用 屏幕音效：屏幕是OLED 屏幕，质感当然没得说了，屏幕非常好，音效也不错，动静很大 拍照效果：拍照吧就这样吧，不好也不坏，也挺好的 运行速度：运行6G内存，还是很快的，呼呼的 待机时间：待机时间很长，4000毫安电池，没的说 其他特色：价格适宜 买就对了，810芯片，买了不吃亏,2
没有手机耳塞！基本配置都没有。,0
舒适度：还可以感觉   用起来,1
一分钱一分货吧，没什么好说的,1
厚重,1
买Pro送的，听诊效应爆炸根本不能动,1
其他特色：用五天，黑屏二次！,0
开机速度慢 差不多20秒  侧板刮花,0
office 竟然没有激活,0
外形外观：正面挺好看的，曲面屏带来的视觉效果真的很不错，但是就是玩游戏时候不好用，我打王者的时候就是上下两条反光带，实在是尴尬。背面就很失望了，一点特色都没有，和之前的米568一个模子，小米要冲击高端，我觉得至少要有一个有识别度的背面。 屏幕音效：屏幕的提升很大，比我以前用的米8好多了，这点提升真的很明显，而且90HZ的屏幕刷头条新闻确实是快多了。音效嘛，双扬声器确实看视频的时候很舒服，就是打游戏的时候双手的挡住扬声器，声音就听不明显了，这个设计就变得很尴尬。 拍照效果：一亿像素的摄像头提升确实很明显，拍出来的照片效果真的很清晰，特别是夜景，感觉比以前的米8提升太明显了。 运行速度：865的速度没得说，打开APP的速度刷刷刷的，玩王者荣耀的速度也很快，帧数一般都稳定在60，马上就可以上王者了。 待机时间：基本上一天正常使用是没问题的，米10电池容量的提升也带来了待机时间的直线提升，而且配合无线充，平常使用中就基本不会有没电的烦恼了。 其他特色：震动反馈真的爽，打起字来爽歪歪啊。,2
做工质感：做工很精致 还特别用心的用个盒子包装  外面还有个刘快递盒 和一个独立包装 特别好 特别上档次 同等价位的做到这样精致的已经很少了 音效音质：音质很清晰 打电话没有任何问题 跑步时手机放在袋子里连这耳机也没有杂音 很享受 不容易掉 舒适度：昨天送到的 带着很舒服。戴久了也不会痛  感觉用这个点钱买到这样的耳机赚了 很满意 和描述的一样商品质量好音质也好 颜色外观：大众的经典白色。简单又好看 耳机有个缠的盒子 不要可以收进去 很方便 橡胶材质的摸着耳机很光滑 其他特色：买了很多耳机了就这个最满意的一个 而且还有很贴心的售后服务 非常到位 客服很优秀 很专业 值得学习和点赞   希望店家的声音越来越好 把这么物美价廉的产品带给更多的人?,2
其他都觉得挺好的，就是用几天就卡了，刚开始买的时候屏幕特泛白，现在就变卡了,1
作为一款百元机，性价比超级高，外形不是很惊艳，但是能满足大家的审美；大屏显示效果很好；大容量电池满足了续航的要求；简单的拍照功能符合了日常瞬间记录的需要；4+64G既确保了运行的流畅度，也确保了存储的空间。,2
辣鸡才用没有多久就开始发软,0
到手就是坏的，一只不响,0
用两天就坏掉了 ，这啥耳机啊,0
耳机音质还是不错的。但是收纳盒怎么没送？,1
性能还行，主板和cpu好像是二手货。,1
外形外观：外观真的很好看，6千多的手机果然是完美。 屏幕音效：屏幕效果真的很棒，看电影和听歌的音效也很好。 拍照效果：拍照效果是最大的亮点，拍摄效果完美无缺。 运行速度：运行速度那叫一个流畅，用过再用回旧手机真的不习惯。 待机时间：待机时间也更长了。 其他特色：其他特色就是夜景效果拍摄更好了。,2
过时的电脑，卡顿得基本不能用。,0
机箱外观：外观大气，体积不大，便于摆放 散热性能：好！开机几小时不热，而且声音很小。 性能配置：开机快，软件正宗,2
机身摸上去纤细，随着光线变幻的配色非常炫酷，810的cpu性能强劲，运行效果流畅，滑动屏幕没有卡顿感，三摄摄像头拍摄非常清晰，色彩还原不错，而且终于用上了快充的type-c接口，在这个价位的手机实属可以，还保留有传统的2.5mm耳机口，无需外设即可边听歌边充电。,2
运行速度很卡,1
机箱外观：小机箱，很紧凑，美观大方！ 性能配置：目前极品配置，性价比极高！ 其他特色：妹子自己搞定了两个电脑，开机设置很简单！ 售后服务：客服妹子很热情，专业能力很强！,2
三插口的设计还是显得有些冗杂,0
挺一般的 总死机 速度慢,0
有时会有吱吱的电流声,0
手机一般,1
耳机音质非常好，做工讲究，物超所值，耳机非常好，音质也超好，听起来很舒服~低音效果简直不能太赞，外形性价比很高，非常划算，音质不错，超喜欢。很开心，大家可以放心的购买！东西不错！很给力！,2
机箱外观：小巧美观 性能配置：开机很快 散热性能：运行冷静 售后服务：送货极速 其他特色：家用完全公用，孩子上网课很方便,2
外观还可以，体积不大省空间。性价比高,1
显卡不行，系统推送的东西不能卸载还占运行内存,1
刚买了不到一个月就降价了500？？？,0
这是我新年最好礼物，手机外形漂亮，养眼，手感非常好；屏幕音效，悦耳好听，音色优美； 拍照颜色靓丽，清晰；内存容量大，使用速度快，待机时间长，用了放心；还有物流真的快，快递小哥服务很好，真心的好评，,2
手机很不错，手机外观时尚大气，正面水滴全面屏，背面反光玻璃，很漂亮，运行速度很流畅很快，屏幕很大显示很清晰，拍照效果很清晰亮度很好，声音很大，很响亮。待机时间很长，充电速度快，很实惠，手机送了一个手机软壳，有充电口防尘塞，很实用。,2
上一个耳机刚丢了，我想还是买的一样的吧！习惯了这一款黑色的耳机。快递很快，晚上下单第二天中午送到。,2
做工质感：纯金属质感 音质音效：低音还不错 整体感觉还是很不错的，索尼耳机的基础款，基本满足日常。试了下录音，还是相对薄弱了些。,2
外形外观：外型大方，超帅，我超喜欢 屏幕音效：屏幕超大，手感很好， 拍照效果：拍照很清楚，好真实，商家很好，手机正品，下次还会买。 其他特色：外型好看，功能齐全，真是一部好手机， 待机时间：待机也很好 运行速度：速度超快，华为荣耀Play3手机真是一部好手机。,2
整体  一般 主机一直有异响  还有共振,1
如果给米8用最好买降噪的,1
订购说是华为原装耳机，收到的是honor的，假货吧？,0
打电话都听不清,0
机箱外观：精致美观，放桌面桌下都好 性能配置：超好 办公超快 一点不卡 其他特色：重量也合适，好移动。插口齐全 售后服务：Dell的售后很好，公司所有电脑全是Dell的,2
第四天，玩个英雄联盟死机,0
从买到现在不到两个月，充了3次电，已经坏了。,0
音质音效：听声辩位还不如扩音,1
机器外观很高大上 价格很亲民  好东西价格永远浮动都不会特别大的 关注了几天 果断下手拿下了 机器质量很必 果然没有让我失望  显示器不错 键盘敲打起来很舒服 鼠标也很好用 手感都很不错   很喜欢戴尔这个品牌 期待多用几年,2
外形外观：外观时尚漂亮 不输3000元旗舰手机 屏幕音效：声音大 音质外放很通透宏亮 拍照效果：6400像素不是吹的 拍照效果特好 运行速度：运行速度比我苹果7快 很出乎意料 待机时间：4500大电池妥妥能用俩天,2
1个月居然降了200多 华为啊，你不能怎么搞啊,0
做工质感：做工特别的漂亮，非常好看，按钮反馈感觉特别的棒。真的非常好用，买的很值。 音质音效：音质没得说，小米的品质杠杠的，开车办公非常实用方便，真是很好用的产品，非常喜欢。 舒适度：佩戴起来耳朵很舒服，带的好几种尺寸的耳套，真的非常舒服，适用不同耳朵尺寸，不错。 续航能力：续航能力满意，用的频繁的话，一天一充，不是特别频繁，几天一充。和手机一样的感觉。,2
外形外观：用过V20钻孔屏，可以发现这几年华为、荣耀手机外观雷同的太多了，最近出的，也都很是相似，一个外观、配置稍不同就型号不同。后壳7号色还是挺好看的，前边，就那样吧 屏幕音效：OLED屏没觉得好多少，可能和刷新率60有关，没有明显的提升。华为音效都还可以，没有啥特别 拍照效果：拍照真的是出乎意料的差。。。和两三千万像素的之前的老手机比，肉眼看完全无进步，四射很一般。 运行速度：新机器速度没问题 待机时间：新机器，待机OK，轻度使用，两天可以 其他特色：最吐槽的是屏下指纹，自觉中年人身体健康四肢正常，指纹解锁识别反复试错，三次内成功率为零，尝尝试到要锁机了，没办法，只能输密码。总体差强人意。估计半年后降价会达500以上。,1
外观设计理念不同，屏幕分辨率真的很好，拍照效果真的很好，运行环境支持力度可以，待机时间超过，正常情况下可以使用一个星期。大品牌就是值得信赖，一直以来都是特比啊喜欢飞利浦手机，尤其是在待机时间这一方面，真是没的说,2
评价个屁，一直问电脑没有声音，哪里开？问了一个晚上没问出来。,0
外形外观：玛德满分 屏幕音效：机皇没得说的，扬声器也很猛 拍照效果：很强 运行速度：非常的流畅，开启120hz简直无敌的存在 待机时间：感觉正常  其他特色：机皇还得看三星，真的太爱了,2
运行速度：略卡 屏幕效果：中 散热性能：低 外形外观：迷你 轻薄程度：轻便,1
做工质感：质感很好 音质音效：降噪不好打开，开了也不好用 续航能力：续航确实没话说,1
刚拿到货，开开盒子 直接坏了,0
不知道是我太费手机还是这手机不好，开始卡了，才一个月,0
